text,disease
"The patient presents with sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, and headache.",atelectasis
"The patient presents with sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sore throat, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, cough, and headache.",atelectasis
The patient presents with dizziness and sore throat.,atelectasis
"The patient presents with sharp chest pain, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, dizziness, and sore throat.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, and cough.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, and headache.",atelectasis
"The patient presents with dizziness, sore throat, and cough.",atelectasis
"The patient presents with shortness of breath, dizziness, and cough.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, and headache.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, and cough.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with dizziness, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, sore throat, cough, and headache.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, and sore throat.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, and cough.",atelectasis
"The patient presents with sharp chest pain, dizziness, sore throat, and cough.",atelectasis
"The patient presents with shortness of breath, sharp chest pain, dizziness, cough, and headache.",atelectasis
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
The patient presents with cough and emotional symptoms.,emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, and cough.",emphysema
The patient presents with shortness of breath and cough.,emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, and cough.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, and cough.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
The patient presents with shortness of breath and cough.,emphysema
"The patient presents with shortness of breath, sharp chest pain, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
The patient presents with shortness of breath and cough.,emphysema
"The patient presents with shortness of breath, sharp chest pain, cough, and emotional symptoms.",emphysema
"The patient presents with shortness of breath, cough, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, leg swelling, and fever.",pulmonary congestion
"The patient presents with chest tightness, nasal congestion, and fever.",pulmonary congestion
"The patient presents with chest tightness, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, cough, nasal congestion, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, leg swelling, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, and leg swelling.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, nasal congestion, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, cough, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, and leg swelling.",pulmonary congestion
The patient presents with cough.,pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, nasal congestion, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with chest tightness, cough, leg swelling, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with chest tightness, cough, leg swelling, and fever.",pulmonary congestion
"The patient presents with cough, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, and nasal congestion.",pulmonary congestion
"The patient presents with shortness of breath, cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, nasal congestion, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with cough, nasal congestion, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with chest tightness, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, cough, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, and fever.",pulmonary congestion
"The patient presents with chest tightness, leg swelling, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, and nasal congestion.",pulmonary congestion
"The patient presents with shortness of breath, cough, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, nasal congestion, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, nasal congestion, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, weakness, and decreased heart rate.",pulmonary congestion
The patient presents with chest tightness and cough.,pulmonary congestion
"The patient presents with chest tightness, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, nasal congestion, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, nasal congestion, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, and weakness.",pulmonary congestion
"The patient presents with chest tightness, cough, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, weakness, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, weakness, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, cough, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with chest tightness, nasal congestion, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with chest tightness, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with chest tightness, cough, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, and nasal congestion.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, and leg swelling.",pulmonary congestion
"The patient presents with cough, nasal congestion, leg swelling, and fever.",pulmonary congestion
"The patient presents with cough, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, nasal congestion, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, and fever.",pulmonary congestion
The patient presents with shortness of breath and cough.,pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, and weakness.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with chest tightness, cough, weakness, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, nasal congestion, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, cough, nasal congestion, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, cough, nasal congestion, and weakness.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, and nasal congestion.",pulmonary congestion
"The patient presents with sharp chest pain, cough, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, and weakness.",pulmonary congestion
"The patient presents with sharp chest pain, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with cough, nasal congestion, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, nasal congestion, leg swelling, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with chest tightness, cough, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, cough, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, nasal congestion, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with chest tightness, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with sharp chest pain, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with sharp chest pain, cough, nasal congestion, leg swelling, and fever.",pulmonary congestion
"The patient presents with cough, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with cough, nasal congestion, leg swelling, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, nasal congestion, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, cough, and nasal congestion.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with cough, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with chest tightness, cough, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with chest tightness, leg swelling, and fever.",pulmonary congestion
"The patient presents with shortness of breath, cough, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, cough, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, nasal congestion, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, leg swelling, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, and leg swelling.",pulmonary congestion
"The patient presents with chest tightness, nasal congestion, leg swelling, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, cough, nasal congestion, and leg swelling.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, and nasal congestion.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, nasal congestion, leg swelling, and weakness.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, and leg swelling.",pulmonary congestion
"The patient presents with chest tightness, cough, nasal congestion, leg swelling, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, leg swelling, and weakness.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, leg swelling, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with shortness of breath, cough, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, chest tightness, cough, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, weakness, decreased heart rate, and fever.",pulmonary congestion
"The patient presents with sharp chest pain, chest tightness, cough, nasal congestion, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, nasal congestion, leg swelling, weakness, and fever.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, nasal congestion, leg swelling, and fever.",pulmonary congestion
"The patient presents with chest tightness, cough, and decreased heart rate.",pulmonary congestion
"The patient presents with sharp chest pain, cough, leg swelling, weakness, and decreased heart rate.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, chest tightness, cough, and leg swelling.",pulmonary congestion
"The patient presents with shortness of breath, sharp chest pain, cough, and weakness.",pulmonary congestion
